#,id,student_id,name,age,gender,is_smoker,weekday_sleep_time,weekday_wake_time,weekend_sleep_time,weekend_wake_time,goes_home_on_weekend,late_night_return_frequency,drinking_frequency,noise_sensitivity,call_frequency,snores,prefers_same_major,major_name,cleaning_frequency,personality_extroversion,weight_lifestyle_rhythm,weight_noise,weight_major,weight_cleaning,weight_age,weight_personality,is_matched,matched_room_id,created_at,updated_at
77,,,우민수,28,남,False,02,07,00,11,False,5,3,5,5,1,True,경영학부,5,1,59,64,46,39,54,59,,,,
78,,,류예준,23,남,False,23,11,22,06,False,7,2,5,1,0,True,화학과,2,0,62,79,15,73,73,65,,,,
79,,,김유준,21,남,False,22,09,01,07,False,2,6,4,6,0,True,반도체시스템공학과,2,1,53,77,80,95,63,7,,,,
80,,,백은서,27,여,False,23,08,22,10,False,2,2,5,3,1,True,글로벌조리학과,6,1,96,21,52,33,80,8,,,,
81,,,송민서,28,여,False,22,11,,,True,2,2,3,5,1,False,건축학과,1,0,10,46,60,43,56,56,,,,
82,,,박건우,25,남,False,03,10,02,11,False,4,3,5,1,0,False,생명시스템학부 식품생명공학전공,3,1,56,47,72,61,23,18,,,,
83,,,이시우,26,남,False,01,10,01,08,False,5,3,4,2,0,True,음악과,2,1,11,92,63,83,66,82,,,,
84,,,임서준,23,남,True,02,09,,,True,5,2,4,3,0,True,국제학부 중국통상학전공,5,1,6,59,93,77,40,41,,,,
85,,,박예은,25,여,False,02,07,00,07,False,5,2,2,3,0,True,수학통계학과,2,0,26,57,71,41,32,31,,,,
86,,,이수아,22,여,True,00,06,23,10,False,4,2,1,2,1,False,수학통계학과,6,1,2,82,2,60,78,84,,,,
87,,,이서윤,26,여,True,23,11,03,10,False,1,1,2,7,0,False,글로벌인재학부 국제통상전공,6,1,13,65,61,66,17,77,,,,
88,,,홍승민,25,남,False,01,10,,,True,2,4,1,5,1,True,국제학부 영어데이터융합전공,5,1,66,33,57,16,71,85,,,,
89,,,류소윤,20,여,False,23,09,03,09,False,6,3,4,2,0,True,건축학과,3,0,34,67,10,36,79,78,,,,
90,,,고하윤,21,여,True,00,08,,,True,1,1,1,2,0,False,인공지능데이터사이언스학과,7,1,97,99,89,43,100,34,,,,
91,,,박유준,24,남,False,01,07,,,True,1,5,3,1,0,True,반도체시스템공학과,2,1,46,82,73,86,100,84,,,,
92,,,이하윤,28,여,False,03,06,03,10,False,5,3,3,2,0,False,기계공학과,3,1,60,39,37,25,98,94,,,,
93,,,김예린,20,여,False,02,11,02,09,False,6,4,1,3,1,True,자유전공학부,7,0,5,58,37,29,68,62,,,,
94,,,한서연,22,여,False,00,11,,,True,3,5,5,7,0,True,패션디자인학과,6,0,60,39,9,18,92,81,,,,
95,,,이승현,20,남,False,03,06,22,06,False,5,7,3,1,0,True,법학과,6,1,32,27,74,15,97,75,,,,
96,,,김지우,26,여,False,02,07,00,07,False,4,3,5,1,0,False,물리천문학과,3,1,81,39,84,81,65,55,,,,
97,,,김하윤,23,여,True,23,06,01,10,False,3,7,3,1,1,True,환경융합공학과,7,1,91,71,76,75,47,60,,,,
98,,,김서연,26,여,False,23,06,00,08,False,6,4,2,3,1,True,콘텐츠소프트웨어학과,5,0,16,67,78,67,38,67,,,,
99,,,손윤서,23,여,False,02,06,01,07,False,0,5,2,4,1,False,경영학부,4,1,1,68,74,58,97,47,,,,
100,,,박승민,20,남,False,01,06,00,11,False,5,3,3,4,0,True,기계공학과,4,1,51,76,35,17,5,38,,,,
101,,,이서연,27,여,True,02,11,,,True,3,3,2,5,1,True,창의소프트학부 디자인이노베이션전공,6,1,51,3,1,44,26,53,,,,
102,,,손유준,21,남,False,22,10,01,10,False,6,4,2,4,1,True,국제학부 일어일문학전공,7,1,37,68,49,63,93,11,,,,
103,,,이민수,24,남,False,02,11,00,09,False,6,1,4,4,0,True,글로벌인재학부 국제협력전공,1,1,94,68,20,34,39,49,,,,
104,,,강윤서,22,여,False,22,06,,,True,2,5,4,4,1,False,화학과,6,1,61,55,35,94,98,100,,,,
105,,,전민수,27,남,False,02,11,02,08,False,1,2,3,3,0,True,반도체시스템공학과,1,0,56,83,17,83,82,6,,,,
106,,,한준우,26,남,False,01,11,23,06,False,2,1,1,3,1,False,양자원자력공학과,5,0,69,63,82,36,11,36,,,,
107,,,이현우,22,남,True,00,10,23,11,False,7,5,4,2,0,True,우주항공시스템학부 항공시스템공학전공,6,0,9,73,15,63,35,57,,,,
108,,,이준우,21,남,False,00,10,02,07,False,2,6,1,6,0,False,창의소프트학부 디자인이노베이션전공,6,1,17,69,90,26,85,16,,,,
109,,,이재윤,21,남,False,22,10,03,09,False,4,5,5,2,1,True,건축공학과,3,0,29,66,74,47,86,36,,,,
110,,,이지우,22,여,False,03,11,01,06,False,4,3,2,3,0,True,반도체시스템공학과,7,0,12,84,2,9,24,49,,,,
111,,,김건우,27,남,False,22,07,03,11,False,5,6,1,7,1,False,나노신소재공학과,4,1,2,58,4,79,40,46,,,,
112,,,김하준,27,남,True,02,11,23,07,False,5,7,3,5,0,False,우주항공시스템학부 우주항공공학전공,4,1,20,36,21,9,66,27,,,,
113,,,이예린,28,여,True,23,08,03,10,False,2,5,3,2,0,True,호텔관광외식경영학부 외식경영학전공,5,0,95,13,2,69,25,53,,,,
114,,,윤서윤,22,여,True,00,10,01,09,False,1,0,2,7,1,True,생명시스템학부 바이오융합공학전공,7,0,37,42,75,76,94,21,,,,
115,,,박건우,27,남,False,22,10,,,True,3,2,5,1,1,True,호텔관광외식경영학부 외식경영학전공,4,1,76,33,89,61,59,4,,,,
116,,,김서윤,21,여,False,00,11,01,09,False,3,2,5,7,1,False,수학통계학과,1,1,97,12,88,29,100,57,,,,
117,,,이소윤,27,여,False,23,09,22,09,False,4,1,1,4,1,True,미디어커뮤니케이션학과,5,0,94,67,11,25,42,10,,,,
118,,,김승민,26,남,False,01,10,,,True,2,3,4,6,0,True,화학과,5,0,69,30,30,48,42,91,,,,
119,,,노시윤,27,남,False,23,10,02,06,False,6,1,3,6,0,False,패션디자인학과,2,0,13,72,37,20,31,28,,,,
120,,,이지후,23,남,False,00,10,,,True,3,4,3,7,1,True,창의소프트학부 디자인이노베이션전공,4,1,9,22,79,92,9,81,,,,
121,,,성채원,27,여,False,00,06,,,True,1,0,4,2,1,False,글로벌인재학부 국제협력전공,5,1,96,34,98,23,16,63,,,,
122,,,윤민준,28,남,False,03,11,00,07,False,5,6,4,4,1,False,역사학과,5,0,26,72,86,71,53,80,,,,
123,,,한유준,22,남,False,01,10,,,True,2,5,2,3,0,True,역사학과,5,0,92,82,47,40,54,92,,,,
124,,,이하윤,26,여,False,03,09,,,True,4,0,4,5,1,False,창의소프트학부 만화애니메이션텍전공,2,0,82,18,64,10,44,93,,,,
125,,,손승민,24,남,False,02,06,02,11,False,5,0,5,3,0,True,국방시스템공학과,5,1,1,86,16,81,18,3,,,,
126,,,송지우,20,여,False,02,10,01,11,False,0,3,1,4,1,False,교육학과,4,0,92,19,79,2,63,24,,,,
127,,,한민수,22,남,True,02,09,,,True,5,2,2,4,1,False,국제학부 중국통상학전공,5,1,27,99,32,61,48,40,,,,
128,,,이민서,20,여,False,23,07,00,11,False,2,1,3,2,1,False,화학과,1,0,36,70,79,47,68,38,,,,
129,,,박수아,27,여,False,00,06,00,09,False,0,3,1,1,1,True,국방시스템공학과,5,1,59,82,29,73,41,35,,,,
130,,,김건우,24,남,True,03,06,,,True,1,2,1,4,0,False,건축공학과,2,0,14,92,97,46,5,70,,,,
131,,,장소윤,21,여,True,03,06,,,True,2,5,1,6,1,False,물리천문학과,4,1,5,65,50,97,28,2,,,,
132,,,이지민,27,여,True,22,06,03,11,False,0,0,3,6,0,False,경제학과,5,0,2,58,59,96,84,45,,,,
133,,,심준우,22,남,False,03,11,23,10,False,3,2,4,4,1,True,패션디자인학과,6,1,96,22,44,88,35,25,,,,
134,,,박승현,27,남,True,03,06,01,06,False,7,6,5,7,1,True,체육학과,6,1,39,28,1,23,85,96,,,,
135,,,백유나,23,여,True,01,10,01,06,False,7,2,1,7,0,False,무용과,4,0,23,38,31,48,29,12,,,,
136,,,한민서,21,여,False,00,10,03,06,False,0,0,4,3,1,False,회화과,4,0,3,100,66,53,81,58,,,,
137,,,박예준,20,남,False,00,09,,,True,5,5,3,6,0,True,인공지능데이터사이언스학과,4,1,35,4,32,57,1,0,,,,
138,,,이소윤,26,여,True,02,07,01,08,False,6,0,5,7,0,False,국제학부 중국통상학전공,3,1,26,86,11,21,68,99,,,,
139,,,이민서,21,여,False,02,11,03,11,False,7,6,3,3,1,False,국제학부 일어일문학전공,1,0,55,55,84,77,65,30,,,,
140,,,이수아,21,여,True,02,09,03,06,False,5,6,5,6,0,True,글로벌인재학부 국제협력전공,5,1,8,35,36,33,33,94,,,,
141,,,김은우,20,남,False,23,06,,,True,5,4,3,2,1,True,무용과,3,0,97,24,46,32,5,76,,,,
142,,,윤지우,26,여,False,22,11,,,True,2,1,5,6,0,True,지능정보융합학과,3,0,92,78,32,47,47,91,,,,
143,,,최하윤,24,여,False,03,09,02,07,False,3,1,3,6,0,True,호텔외식관광프랜차이즈경영학과,4,0,100,100,37,42,98,50,,,,
144,,,박예은,28,여,False,03,08,02,07,False,5,7,3,7,1,True,호텔관광외식경영학부 외식경영학전공,5,1,71,66,60,39,7,89,,,,
145,,,이예린,20,여,True,23,10,00,07,False,6,4,2,4,0,True,AI융합전자공학과,6,0,77,64,35,88,100,5,,,,
146,,,김수아,25,여,False,02,08,02,09,False,2,4,4,3,1,False,국어국문학과,3,0,3,67,51,53,25,13,,,,
147,,,김수아,20,여,False,22,09,22,10,False,7,7,1,6,0,True,무용과,2,1,13,45,43,16,12,16,,,,
148,,,김유준,25,남,True,02,06,00,09,False,6,6,4,3,0,True,지구자원시스템공학과,1,0,67,99,68,62,12,26,,,,
149,,,권지안,26,여,False,23,10,00,07,False,6,4,1,1,1,True,국제학부 중국통상학전공,4,1,81,95,98,82,20,12,,,,
150,,,이소윤,21,여,False,23,10,23,06,False,0,3,2,7,1,True,국어국문학과,4,1,14,76,55,54,90,57,,,,
151,,,배다은,23,여,True,23,08,00,06,False,2,2,2,3,1,False,수학통계학과,5,0,50,13,62,96,36,81,,,,
152,,,오대현,22,남,True,02,07,,,True,4,1,3,6,1,True,국제학부 영어데이터융합전공,3,0,97,4,97,50,42,64,,,,
153,,,이예준,22,남,True,02,07,23,08,False,0,4,2,1,1,False,양자원자력공학과,2,1,86,65,34,74,67,95,,,,
154,,,김채원,22,여,False,23,07,02,10,False,6,1,3,6,0,True,지구자원시스템공학과,1,1,40,25,27,12,82,91,,,,
155,,,주민준,28,남,False,03,10,02,09,False,1,3,4,2,1,True,영화예술학과,6,0,57,26,19,26,58,16,,,,
156,,,최민준,25,남,False,00,11,03,08,False,5,6,4,6,0,False,글로벌인재학부 국제통상전공,4,1,81,79,17,89,23,66,,,,
157,,,이민수,26,남,False,22,08,03,08,False,4,0,1,7,0,False,정보보호학과,1,1,26,54,78,65,6,65,,,,
158,,,황도윤,26,남,False,22,11,22,11,False,4,0,3,7,0,True,글로벌인재학부 국제협력전공,4,0,14,75,44,58,51,96,,,,
159,,,고소윤,25,여,False,03,10,22,09,False,2,2,5,4,1,False,건설환경공학과,2,0,40,82,47,14,74,71,,,,
160,,,김하윤,25,여,False,02,11,,,True,5,5,2,4,1,False,창의소프트학부 디자인이노베이션전공,6,0,19,15,54,89,25,62,,,,
161,,,이유준,28,남,True,03,06,,,True,2,0,3,5,0,False,행정학과,3,1,69,58,71,17,16,95,,,,
162,,,박대현,28,남,False,00,06,22,09,False,5,4,4,4,0,False,패션디자인학과,7,1,56,52,33,55,41,34,,,,
163,,,허하준,28,남,False,02,10,03,08,False,1,5,5,5,0,True,호텔관광외식경영학부 호텔관광경영학전공,3,1,67,41,73,51,95,88,,,,
164,,,송소윤,25,여,False,22,07,00,11,False,4,2,1,3,1,False,국제학부 일어일문학전공,7,0,76,69,85,70,77,20,,,,
165,,,양지안,26,여,False,02,10,22,11,False,1,4,1,1,0,False,인공지능데이터사이언스학과,4,1,68,40,93,95,66,57,,,,
166,,,김채원,24,여,True,23,07,01,10,False,7,7,2,4,0,True,생명시스템학부 바이오산업자원공학전공,5,1,4,31,7,82,78,99,,,,
167,,,김서연,22,여,False,00,08,22,08,False,5,0,3,7,1,False,건축학과,5,0,80,32,17,91,95,30,,,,
168,,,김대현,22,남,False,23,07,01,10,False,6,3,4,6,1,False,양자원자력공학과,1,0,81,84,96,22,69,50,,,,
169,,,강시우,20,남,False,02,11,,,True,5,1,3,6,1,False,AI융합전자공학과,6,0,15,59,22,3,98,39,,,,
170,,,송준우,27,남,False,22,09,,,True,1,4,1,1,1,True,자유전공학부,5,1,73,45,6,91,17,61,,,,
171,,,박유나,26,여,True,03,10,03,08,False,1,2,3,6,0,True,체육학과,6,0,59,30,89,0,50,49,,,,
172,,,박지우,28,여,True,03,10,22,07,False,1,1,4,3,1,False,국제학부 영어데이터융합전공,3,1,83,68,57,49,11,60,,,,
173,,,최나연,24,여,False,23,09,,,True,2,1,2,2,1,False,인공지능데이터사이언스학과,7,0,17,89,97,3,32,24,,,,
174,,,노은우,26,남,False,22,11,,,True,5,3,4,4,0,True,경영학부,6,1,65,86,92,14,4,69,,,,
175,,,김민준,28,남,False,22,08,23,11,False,3,4,1,3,0,False,체육학과,4,0,53,1,97,6,97,6,,,,
176,,,김나연,26,여,False,23,10,22,08,False,0,0,5,2,0,False,나노신소재공학과,1,1,72,16,23,46,78,24,,,,
177,,,홍재윤,28,남,False,01,08,23,07,False,2,3,2,3,0,True,물리천문학과,6,1,42,9,36,0,38,25,,,,
178,,,강유준,23,남,False,02,07,22,11,False,3,0,5,1,1,False,자유전공학부,3,1,40,35,33,35,95,4,,,,
179,,,장서연,26,여,False,01,07,01,07,False,7,0,4,1,1,False,AI로봇학과,6,1,91,30,56,45,33,66,,,,
180,,,오소윤,26,여,False,23,11,02,08,False,0,1,1,5,1,False,생명시스템학부 바이오융합공학전공,2,1,44,10,53,56,59,98,,,,
181,,,박유나,28,여,False,03,11,02,06,False,6,0,3,4,1,True,생명시스템학부 바이오산업자원공학전공,4,0,81,95,24,56,0,70,,,,
182,,,곽하윤,28,여,True,00,09,00,08,False,5,2,5,1,1,False,화학과,7,1,93,49,41,16,33,80,,,,
183,,,황준우,27,남,True,00,11,03,09,False,5,4,1,1,1,False,미디어커뮤니케이션학과,3,0,44,23,64,22,27,2,,,,
184,,,박서준,24,남,False,02,08,03,09,False,4,3,3,6,0,False,AI로봇학과,1,0,88,59,9,38,19,57,,,,
185,,,박현우,20,남,False,03,11,,,True,3,1,4,7,1,False,체육학과,7,0,73,27,97,95,4,6,,,,
186,,,류건우,21,남,False,02,07,03,06,False,4,6,3,1,1,False,물리천문학과,7,0,81,45,42,18,18,89,,,,
187,,,이민수,25,남,False,23,08,00,11,False,0,7,3,6,0,True,무용과,5,0,38,48,78,76,56,71,,,,
188,,,박소윤,25,여,False,02,06,23,07,False,5,7,1,7,1,True,국어국문학과,2,1,71,52,56,0,79,47,,,,
189,,,이시윤,25,남,False,23,11,23,07,False,0,1,5,2,0,False,회화과,5,0,83,44,99,54,55,46,,,,
190,,,김건우,24,남,False,01,11,23,11,False,2,5,4,2,0,True,창의소프트학부 디자인이노베이션전공,6,1,67,18,86,98,90,12,,,,
191,,,박유나,26,여,True,22,06,,,True,5,5,3,5,1,True,호텔외식관광프랜차이즈경영학과,5,0,53,79,71,44,47,68,,,,
192,,,김시윤,26,남,False,22,06,22,11,False,4,6,5,1,0,False,회화과,1,0,31,20,66,18,10,56,,,,
193,,,김예린,24,여,False,03,11,00,08,False,1,0,2,3,1,False,건축공학과,5,0,80,0,63,2,63,37,,,,
194,,,김시윤,24,남,False,23,07,,,True,3,1,3,2,0,False,우주항공시스템학부 항공시스템공학전공,4,0,57,58,15,13,32,43,,,,
195,,,김채원,28,여,True,22,11,01,09,False,5,6,2,3,0,False,국어국문학과,7,0,97,54,6,40,49,85,,,,
196,,,최은서,26,여,False,03,10,,,True,1,5,3,6,1,False,글로벌조리학과,6,0,0,17,60,51,56,56,,,,
197,,,김다은,27,여,True,01,09,23,10,False,7,1,1,4,1,False,콘텐츠소프트웨어학과,1,0,27,100,80,94,41,60,,,,
198,,,이준우,22,남,False,00,06,00,07,False,6,3,5,3,1,True,국방시스템공학과,2,0,69,80,12,99,51,75,,,,
199,,,강하준,24,남,True,02,08,03,09,False,1,7,1,6,1,False,국제학부 일어일문학전공,5,1,40,5,25,76,93,100,,,,
200,,,유예린,21,여,False,22,10,01,07,False,3,4,5,3,0,True,무용과,4,1,3,34,78,82,19,43,,,,
201,,,황서준,20,남,False,03,08,22,07,False,6,0,1,2,1,False,양자원자력공학과,2,1,28,78,12,100,37,24,,,,
202,,,박예은,26,여,True,01,09,23,06,False,7,6,1,1,1,True,컴퓨터공학과,4,1,34,35,8,35,15,74,,,,
203,,,김재윤,24,남,True,23,07,02,09,False,6,7,1,7,1,True,지구자원시스템공학과,4,0,51,49,73,54,43,8,,,,
204,,,오예은,28,여,True,01,09,,,True,2,0,3,1,0,False,무용과,1,1,22,97,28,53,14,63,,,,
